id	unitId	form	name	rank	maxLv	level	health	attack	speed	kb	atkOccu	atkFreq	dps	range	reach	sAtkReach	lAtkReach	cost	again	conAtk	firstAtk	firstOccu	secondAtk	secondOccu	thirdAtk	thirdOccu	reOnConAtkChara	wait	backSwing	waveProbability	waveLevel	miniWave	ragingWaveProbability	ragingWaveLevel	ragingWaveSReach	ragingWaveLReach	againstWhite	againstRed	againstFloat	againstBlack	againstMetal	againstAngel	againstAlien	againstZombie	againstAncient	againstDemon	veryStrong	superDamage	strongStruck	extremeDamage	superStrongStruck	blowAway	attackInvalid	stopMoving	slowDown	atkReduce	curse																																
005-3	5	3	ネコライオン	基本	20+90	30	17000	442	30	5	6	10	1326	単体	140			750	126									0	4	0	0		0	0	0	0																																																					
006-1	6	1	ネコノトリ	基本	20+90	30	5100	2380	10	4	10	49	1457	範囲	170			975	60									39	4	0	0		0	0	0	0																																																					
006-2	6	2	ネコＵＦＯ	基本	20+90	30	5100	2805	10	4	18	57	1476	範囲	170			975	60									39	8	0	0		0	0	0	0																																																					
006-3	6	3	天空のネコ	基本	20+90	30	10200	5610	10	4	18	57	2953	範囲	170			975	106									39	8	0	0		0	0	0	0						天														攻撃低下(20%の確率 120F 50%に低下)																																	
007-1	7	1	ネコフィッシュ	基本	20+90	30	11900	3060	10	3	10	53	1732	単体	150			1200	126									43	8	0	0		0	0	0	0		赤									めっぽう強い																																										
007-2	7	2	ネコクジラ	基本	20+90	30	11900	3060	10	3	10	53	1732	単体	150			1200	126									43	8	0	0		0	0	0	0		赤									めっぽう強い																																										
007-3	7	3	ネコ島	基本	20+90	30	23800	6120	10	3	10	53	3464	単体	150			1200	246									43	8	0	0		0	0	0	0		赤									めっぽう強い																						クリティカル(2%)																				
008-1	8	1	ネコトカゲ	基本	20+90	30	13600	5950	10	3	10	129	1384	単体	400			1500	306									119	4	0	0		0	0	0	0																																																					
008-2	8	2	ネコドラゴン	基本	20+90	30	13600	5950	10	3	8	127	1406	単体	400			1500	306									119	8	0	0		0	0	0	0																																																					
008-3	8	3	ネコキングドラゴン	基本	20+90	30	15300	6800	10	3	8	127	1606	単体	400			1500	506									119	8	0	0		0	0	0	0																																																					
009-1	9	1	巨神ネコ	基本	20+90	30	17000	4760	8	1	18	67	2131	範囲	150			1950	546									49	8	0	0		0	0	0	0																																																					
009-2	9	2	ネコダラボッチ	基本	20+90	30	17000	4760	8	1	18	67	2131	範囲	150			1950	546									49	14	0	0		0	0	0	0																																																					
009-3	9	3	ネコジャラミ	基本	20+90	30	34000	9520	8	1	18	67	4263	範囲	150			1950	666									49	14	0	0		0	0	0	0	白	赤	浮	黒		天	エ	ゾ	古	悪						ふっとばす(30%)																																					
010-1	10	1	ネコ女優	EX	50+0	30	6800	1700	10	3	7	126	405	範囲	350			900	66									119	5	0	0		0	0	0	0																																																					
010-2	10	2	ネコ聖母	EX	50+0	30	6800	1700	10	3	7	126	405	範囲	350			900	66									119	9	0	0		0	0	0	0																																																					
010-3	10	3	ネコマッチョ	EX	50+0	30	11050	1700	10	3	7	86	593	範囲	350			900	66									79	9	0	0		0	0	0	0																															烈波無効				攻撃上昇(33%以下 50%上昇)													遅くする耐性:70%効果時間減少					
011-1	11	1	カンフーにゃんこ	EX	50+0	30	15300	18700	9	1	11	210	2671	範囲	300			2250	596									199	30	0	0		0	0	0	0																																																					
011-2	11	2	酔拳にゃんこ	EX	50+0	30	15300	20570	9	1	11	210	2939	範囲	300			2250	596	○	4115	11	1020	4	15435	20		175	26	0	0		0	0	0	0																																																					
011-3	11	3	ネコダンサー	EX	50+0	30	15300	20570	9	1	35	210	2939	範囲	330			2250	596									175	26	0	0		20	1	480	750																								止める無効		攻撃力低下無効				波動無効																							
012-1	12	1	Mr.	EX	50+0	30	8500	595	31	5	2	18	992	範囲	140			825	216									15	16	0	0		0	0	0	0																																																					
012-2	12	2	Super Mr.	EX	50+0	30	8500	595	31	5	2	17	1050	範囲	140			825	216									15	14	0	0		0	0	0	0																																																					
012-3	12	3	Hyper Mr.	EX	50+0	30	8500	595	47	5	2	17	1050	範囲	140			825	216									15	14	0	0		0	0	0	0																対ゾンビ：ふっとばす(30%)								止める無効			ワープ無効					ゾンビキラー																					
013-1	13	1	猫縛り	EX	50+0	30	11900	1700	5	1	6	45	1133	単体	120			1035	176									5	39	0	0		0	0	0	0		赤									めっぽう強い																																										
013-2	13	2	猫縛りNEO	EX	50+0	30	11900	1700	5	1	6	45	1133	単体	120			1035	176									5	39	0	0		0	0	0	0		赤									めっぽう強い																																										
013-3	13	3	猫縛り極上	EX	50+0	30	23800	1700	5	1	6	45	1133	単体	120			1035	176									5	39	0	0		0	0	0	0		赤									めっぽう強い						攻撃無効(40% 30F)	動きを止める(30% 60F)							遅くする無効		ワープ無効									生き残る(50%)																	
014-1	14	1	女王猫	EX	50+0	30	11900	2241	5	1	6	45	1494	単体	210			1440	176	○	747	6	747	11	747	11		5	17	0	0		0	0	0	0		赤									めっぽう強い																																										
014-2	14	2	処刑人	EX	50+0	30	11900	2241	5	1	6	45	1494	単体	210			1440	176	○	747	6	747	11	747	11		5	17	0	0		0	0	0	0		赤									めっぽう強い																																										
014-3	14	3	暗黒嬢	EX	50+0	30	11900	2245	5	1	6	12	5613	単体	210			1140	176									5	6	15	6		0	0	0	0		赤		黒							めっぽう強い															攻撃力低下無効																											
015-1	15	1	ネコの箱詰め	EX	50+0	30	13600	5100	35	3	8	101	1515	範囲	140			1125	196									0	93	0	0		0	0	0	0																																																					
015-2	15	2	ネコギャング	EX	50+0	30	13600	5100	35	3	8	101	1515	範囲	140			1125	196									0	93	0	0		0	0	0	0																																																					
015-3	15	3	重機C・A・T	EX	50+0	30	13600	5100	30	3	8	101	1515	範囲	199			1125	196									0	93	0	0		0	0	0	0				黒								超ダメージ								攻撃低下(30%の確率 200F 50%に低下)						攻撃力低下無効																						遅くする耐性:70%効果時間減少					
016-1	16	1	ネコパンツ	EX	50+0	30	6800	1700	10	3	6	125	408	単体	350			525	66									119	6	0	0		0	0	0	0																																																					
016-2	16	2	ネコ葉っぱ	EX	50+0	30	6800	1700	10	3	6	125	408	単体	350			525	66									119	7	0	0		0	0	0	0																																																					
016-3	16	3	ネコぺろきゃん	EX	50+0	30	6800	1700	10	3	6	125	408	範囲	350			525	66									119	6	0	0		0	0	0	0																			対メタル：遅くする(30% 120F)							攻撃力低下無効																					止める耐性:70%効果時間減少						
017-1	17	1	もねこ	EX	50+0	30	10200	6800	5	4	28	127	1606	単体	160			148	1734									99	29	0	0		0	0	0	0																																	クリティカル(15%)																				
017-2	17	2	スターもねこ	EX	50+0	30	17000	6800	5	4	28	127	1606	単体	160			148	1734									99	29	0	0		0	0	0	0																																	クリティカル(15%)																				
018-1	18	1	ネコリンリン	EX	50+0	30	6800	3060	10	4	20	59	1556	範囲	170			1050	60									39	13	0	0		0	0	0	0																																																					
018-2	18	2	ネコワイルド	EX	50+0	30	6800	3060	10	4	16	59	1556	範囲	170			1050	60									43	31	0	0		0	0	0	0																																																					
018-3	18	3	イチリンリン	EX	50+0	30	6800	3060	10	4	16	59	1556	範囲	170			525	60									43	31	0	0		0	0	0	0																																																					
019-1	19	1	ネコ忍者	EX	50+0	30	4080	474	13	3	6	21	677	単体	150			300	60	○	237	6	237	8				7	4	0	0		0	0	0	0		赤									めっぽう強い																																										
019-2	19	2	ガマネコ忍者	EX	50+0	30	4080	474	13	3	6	21	677	単体	150			300	60	○	237	6	237	8				7	4	0	0		0	0	0	0		赤									めっぽう強い																																										
019-3	19	3	ムササビネコ忍者	EX	50+0	30	4080	475	20	3	6	21	679	単体	150			225	60									15	12	0	0		0	0	0	0		赤		黒							めっぽう強い						攻撃無効(20% 60F)																																				
020-1	20	1	ネコゾンビ	EX	50+0	30	11900	3400	8	3	16	59	1729	単体	150			1125	136									43	16	0	0		0	0	0	0		赤									めっぽう強い																																										
020-2	20	2	デビルネコ	EX	50+0	30	11900	3400	8	3	16	59	1729	単体	150			1125	136									43	16	0	0		0	0	0	0		赤									めっぽう強い																																										
020-3	20	3	ネコボーン	EX	50+0	30	11900	3400	8	3	16	59	1729	範囲	150			1125	76									43	16	0	0		0	0	0	0		赤						ゾ			めっぽう強い									攻撃低下(40%の確率 120F 50%に低下)												ゾンビキラー																遅くする耐性:70%効果時間減少					
021-1	21	1	ネコざむらい	EX	50+0	30	9180	2210	7	3	18	57	1163	単体	150			525	60									39	6	0	0		0	0	0	0																																																					
021-2	21	2	ネコナイト	EX	50+0	30	9180	2210	7	3	18	57	1163	単体	160			525	60									39	6	0	0		0	0	0	0																																																					
021-3	21	3	ネコパティシエ	EX	50+0	30	9180	2210	7	3	18	57	1163	単体	160			525	60									39	6	0	0		0	0	0	0	白	赤	浮	黒		天	エ	ゾ	古	悪									遅くする(10% 60F)	攻撃低下(10%の確率 60F 50%に低下)																					バリアブレイク(20%)							遅くする耐性:70%効果時間減少					
022-1	22	1	スモウネコ	EX	50+0	30	10200	150	8	1	12	34	132	範囲	110			300	60	○	50	12	50	8	50	8		5	6	0	0		0	0	0	0																																																					
022-2	22	2	マダム・ザ・スモウ	EX	50+0	30	10200	150	8	1	12	34	132	範囲	110			300	60	○	50	12	50	8	50	8		5	6	0	0		0	0	0	0																																																					
022-3	22	3	ネコにぎり	EX	50+0	30	10200	150	24	1	12	34	132	範囲	110			300	60	○	50	12	50	8	50	8		5	6	0	0		0	0	0	0																							ふっとばす無効	止める無効	遅くする無効				毒撃無効																								
023-1	23	1	ネコフィーバー	EX	50+0	30	3400	340	6	3	14	43	237	単体	140			75	60									29	18	0	0		0	0	0	0																																																					
023-2	23	2	ネコカーニバル	EX	50+0	30	3400	340	6	3	14	43	237	単体	140			75	60									29	18	0	0		0	0	0	0																																																					
023-3	23	3	ネコアミーゴ	EX	50+0	30	3400	340	6	3	14	43	237	単体	140			75	60									29	18	0	0		0	0	0	0	白	赤	浮	黒		天	エ	ゾ	古	悪						ふっとばす(20%)															烈波無効																止める耐性:70%効果時間減少	遅くする耐性:70%効果時間減少					
024-1	24	1	ネコスカート	EX	50+0	30	6800	1700	10	3	6	125	408	単体	350			525	66									119	6	0	0		0	0	0	0																																																					
024-2	24	2	ネコタイツ	EX	50+0	30	6800	1700	10	3	6	125	408	単体	350			525	66									119	6	0	0		0	0	0	0																																																					
024-3	24	3	ねこななふん	EX	50+0	30	6800	1700	10	3	6	85	600	単体	350			525	66									79	6	0	0		0	0	0	0																				対エイリアン：攻撃低下(30%の確率 120F 50%に低下)							ワープ無効														バリアブレイク(50%)												
025-1	25	1	ネコヴァルキリー	EX	40+0	30	23800	8500	20	2	20	129	1977	範囲	350			3000	1936									109	29	0	0		0	0	0	0																																																					
025-2	25	2	ネコヴァルキリー・真	EX	40+0	30	23800	8500	20	2	20	129	1977	範囲	350			3000	1936									109	29	0	0		0	0	0	0																																																					
025-3	25	3	ネコヴァルキリー・聖	EX	40+0	30	23800	12240	20	2	20	129	2847	範囲	350			3000	1936									109	29	0	0		0	0	0	0	白	赤	浮	黒		天	エ	ゾ	古	悪								動きを止める(35% 60F)																																			
026-1	26	1	ネコムート	EX	40+0	30	25500	85000	6	3	121	600	4250	範囲	450			4500	4536									479	30	0	0		0	0	0	0																																																					
026-2	26	2	狂乱のネコムート	EX	40+0	30	25500	85000	6	3	121	600	4250	範囲	450			4500	4536									479	30	0	0		0	0	0	0																																																					
026-3	26	3	覚醒のネコムート	EX	40+0	30	25500	93500	60	6	5	93	30161	範囲	200			4500	2936	○	85000	5	3400	5	5100	10		0	73	0	0		0	0	0	0																																																					
027-1	27	1	ケリ姫	EX	50+0	30	10200	6800	35	1	4	181	1127	単体	140			675	536									0	177	0	0		0	0	0	0																																																					
027-2	27	2	フルカラーケリ姫	EX	50+0	30	10200	6800	35	1	4	181	1127	単体	140			675	536									0	177	0	0		0	0	0	0																																																					
027-3	27	3	ウェディングケリ姫	EX	50+0	30	10200	13600	40	1	4	181	2254	単体	140			675	536									0	177	0	0		0	0	0	0																																																					
028-1	28	1	ネコひめ	EX	50+0	30	10200	7650	35	1	2	161	1425	単体	140			675	436									83	159	0	0		0	0	0	0																																																					
028-2	28	2	ネコひめビューティ	EX	50+0	30	10200	7650	35	1	2	161	1425	単体	140			675	436									83	159	0	0		0	0	0	0																																																					
029-1	29	1	ネコカプセル	EX	50+0	30	17	5100	70	1	2	222	689	単体	140			666	336									0	220	0	0		0	0	0	0																																																					
029-2	29	2	ねこ盛り	EX	50+0	30	17	5100	70	1	2	222	689	単体	140			666	336									0	220	0	0		0	0	0	0																																																					
030-1	30	1	マスクオブネコ	EX	50+0	30	1700	135	10	3	8	37	109	単体	140			75	60									29	10	0	0		0	0	0	0																																																					
030-2	30	2	ネコレスラー	EX	50+0	30	8500	2380	8	1	18	67	1066	範囲	150			975	336									49	8	0	0		0	0	0	0																																																					
031-1	31	1	ネコぼさつ	激レア	50+70	30	16320	5015	7	2	45	74	2033	範囲	270			1650	1176									0	29	0	0		0	0	0	0			浮																遅くする(40% 120F)																																		
031-2	31	2	ネコせんじゅ	激レア	50+70	30	19720	8415	7	2	45	74	3411	範囲	270			1650	1176									0	29	0	0		0	0	0	0			浮																遅くする(40% 120F)																																		
031-3	31	3	ネコにょらい	激レア	50+70	30	19720	8415	17	2	45	74	3411	範囲	300			1650	1176									0	29	0	0		0	0	0	0			浮																遅くする(40% 170F)	攻撃低下(30%の確率 200F 50%に低下)																																	
032-1	32	1	ネコ番長	激レア	50+70	30	17000	7395	8	3	18	97	2287	範囲	250			1500	1456	○	2465	18	2465	12	2465	16		51	27	0	0		0	0	0	0			浮															動きを止める(16% 60F)																																			
032-2	32	2	怒りのネコ番長	激レア	50+70	30	20400	13005	8	3	18	97	4022	範囲	250			1500	1456	○	4335	18	4335	12	4335	16		51	20	0	0		0	0	0	0			浮															動きを止める(16% 60F)						止める無効																													
032-3	32	3	押忍！ネコ番長	激レア	50+70	30	30600	13005	8	3	18	97	4022	範囲	280			1500	1026	○	4335	18	4335	12	4335	16		51	20	0	0		0	0	0	0			浮						古									動きを止める(16% 60F)						止める無効				呪い無効							攻撃上昇(67%以下 50%上昇)			渾身の一撃(10% 3倍)											攻撃力低下耐性:70%効果時間減少				
033-1	33	1	ネコザイル	激レア	50+70	30	12750	12750	11	5	36	195	1962	単体	220			675	376									159	10	0	0		0	0	0	0		赤																	遅くする(40% 120F)																																		
033-2	33	2	ネコ裸踊り	激レア	50+70	30	25500	25500	11	5	36	195	3923	単体	220			675	376									159	10	0	0		0	0	0	0		赤																	遅くする(40% 120F)																																		
033-3	33	3	ネコカンカン	激レア	50+70	30	38250	38250	21	5	36	195	5885	単体	220			675	376									159	10	0	0		0	0	0	0		赤					エ												遅くする(60% 120F)								ワープ無効							金×2																			
034-1	34	1	ねこタツ	激レア	50+70	30	20400	1700	10	1	42	51	1000	単体	130			720	296									0	9	0	0		0	0	0	0			浮										打たれ強い							攻撃低下(30%の確率 200F 50%に低下)																																	
034-2	34	2	ねこＴＶ	激レア	50+70	30	27200	3400	10	1	42	51	2000	単体	130			720	296									0	9	0	0		0	0	0	0			浮										打たれ強い							攻撃低下(30%の確率 200F 50%に低下)																																	
034-3	34	3	ねこタコつぼ	激レア	50+70	30	27200	5100	10	1	42	63	2429	単体	130			720	296									0	21	0	0		0	0	0	0			浮										打たれ強い							攻撃低下(30%の確率 250F 50%に低下)								呪い無効												波動ストッパー							止める耐性:70%効果時間減少	遅くする耐性:70%効果時間減少					
035-1	35	1	ネコルガ	超激レア	50+70	30	8500	2550	4	5	13	82	933	単体	140			4500	736									69	4	0	0		0	0	0	0																																																					
035-2	35	2	ケサランパサラン	超激レア	50+70	30	20400	17000	4	1	89	568	898	範囲	650			4500	9736									479	32	0	0		0	0	0	0	白	赤	浮	黒		天	エ	ゾ	古	悪						ふっとばす(100%)																																					
035-3	35	3	ウルトラケサラン	超激レア	50+70	30	20400	34000	4	1	89	568	1796	範囲	650			3900	9736									479	32	0	0		0	0	0	0	白	赤	浮	黒		天	エ	ゾ	古	悪						ふっとばす(100%)		動きを止める(100% 90F)																																		波動耐性:50%軽減	
036-1	36	1	オタネコ	激レア	50+70	30	3400	5100	4	1	72	241	635	単体	1200	1100	1500	3750	4736									0	169	0	0		0	0	0	0																																																					
036-2	36	2	ネコハッカー	激レア	50+70	30	3400	5100	4	1	72	241	635	範囲	1200	800	1200	3750	4736									0	169	0	0		0	0	0	0																																																					
036-3	36	3	ネコスーパーハッカー	激レア	50+70	30	3400	7650	4	1	72	241	952	範囲	1200	800	1200	3000	4736									0	169	0	0		0	0	0	0	白	赤	浮	黒		天	エ	ゾ	古	悪									遅くする(100% 120F)																	生き残る(100%)					バリアブレイク(60%)												
037-1	37	1	ネコスイマー	激レア	50+70	30	12750	7480	25	4	21	121	1855	単体	185			675	296									0	100	0	0		0	0	0	0			浮									超ダメージ																																									
037-2	37	2	ネコバタフライ	激レア	50+70	30	17850	12580	25	4	21	121	3119	単体	185			675	296									0	100	0	0		0	0	0	0			浮									超ダメージ																																									
037-3	37	3	ネコ半魚人	激レア	50+70	30	20400	15130	46	4	21	121	3751	単体	215			675	296									0	100	0	0		0	0	0	0			浮									超ダメージ							遅くする(40% 60F)																													遅くする耐性:70%効果時間減少					
038-1	38	1	ネコホッピング	レア	50+80	30	5100	1105	10	3	16	49	677	単体	150			360	60									29	33	0	0		0	0	0	0																																				生き残る(50%)																	
038-2	38	2	ネコマサイ	レア	50+80	30	6800	1275	10	3	16	49	781	単体	150			360	60									29	33	0	0		0	0	0	0																																				生き残る(50%)																	
038-3	38	3	ネコキョンシー	レア	50+80	30	6800	1785	20	3	16	49	1093	単体	150			240	60									29	33	0	0		0	0	0	0																																				生き残る(100%)												遅くする耐性:70%効果時間減少				波動耐性:50%軽減	
039-1	39	1	ネコ車輪	レア	50+80	30	10200	3740	9	2	29	68	1650	範囲	170			1050	336									39	12	0	0		0	0	0	0							エ					超ダメージ																																									
039-2	39	2	ネコ太陽	レア	50+80	30	13600	5440	9	2	29	68	2400	範囲	170			1050	336									39	12	0	0		0	0	0	0							エ					超ダメージ																																									
039-3	39	3	ネコクール	レア	50+80	30	13600	7140	9	2	29	68	3150	範囲	200			750	136									39	12	0	0		0	0	0	0							エ					超ダメージ				ふっとばす(40%)																																	攻撃力低下耐性:70%効果時間減少				
040-1	40	1	ネコリンゴ	激レア	50+70	30	15300	3230	12	3	6	96	1009	単体	180			825	376									35	90	0	0		0	0	0	0		赤																動きを止める(40% 60F)																																			
040-2	40	2	カオルくん	激レア	50+70	30	20400	6630	12	3	6	96	2072	単体	180			825	376									35	90	0	0		0	0	0	0		赤																動きを止める(40% 60F)																																			
040-3	40	3	ネコアップル	激レア	50+70	30	20400	6630	22	3	6	96	2072	範囲	180			825	376									35	90	0	0		0	0	0	0		赤																動きを止める(100% 60F)																													止める耐性:70%効果時間減少	遅くする耐性:70%効果時間減少					
041-1	41	1	ネコバスたぶ	激レア	50+70	30	6800	6800	9	3	35	194	1052	単体	400			750	936									159	35	0	0		0	0	0	0		赤										超ダメージ																																									
041-2	41	2	セクシーネコバスたぶ	激レア	50+70	30	11900	10200	9	3	35	194	1577	単体	400			750	936									159	35	0	0		0	0	0	0		赤										超ダメージ																																									
041-3	41	3	ネコバスたぶゴールデン	激レア	50+70	30	20400	10200	9	3	35	144	2125	単体	400			750	936									109	35	0	0		0	0	0	0		赤										超ダメージ				ふっとばす(50%)																																	攻撃力低下耐性:70%効果時間減少			波動耐性:50%軽減	
042-1	42	1	ネコエステ	レア	50+80	30	8160	3060	10	3	7	126	729	範囲	350			900	66									119	5	0	0		0	0	0	0																																																					
042-2	42	2	ネコジェンヌ	レア	50+80	30	9860	4250	10	3	7	126	1012	範囲	350			900	66									119	5	0	0		0	0	0	0																																																					
042-3	42	3	ネコパーフェクト	レア	50+80	30	9860	5440	10	3	7	126	1295	範囲	350			900	66									119	14	0	0		0	0	0	0																										攻撃力低下無効			毒撃無効							生き残る(50%)											止める耐性:70%効果時間減少						
043-1	43	1	ネコアイス	超激レア	50+70	30	23800	15300	8	3	54	183	2508	範囲	325			3300	1736									129	17	0	0		0	0	0	0		赤																動きを止める(50% 120F)																																			
043-2	43	2	ネコアイスクイーン	超激レア	50+70	30	34000	22100	8	3	54	183	3623	範囲	325			3300	1736									129	17	0	0		0	0	0	0		赤																動きを止める(50% 120F)																																			
043-3	43	3	ネコアイスクリスタル	超激レア	50+70	30	34000	30600	8	3	54	183	5016	範囲	425			3300	1736									129	17	0	0		0	0	0	0		赤																動きを止める(100% 120F)										呪い無効								生き残る(100%)												遅くする耐性:70%効果時間減少					
044-1	44	1	ネコマシン	超激レア	50+70	30	81600	59500	9	1	168	367	4864	範囲	140			3600	1936									199	38	0	0		0	0	0	0		赤					エ						打たれ強い																																								
044-2	44	2	ネコマシン・破	超激レア	50+70	30	102000	94435	9	1	168	367	7719	範囲	140			3600	1936									199	38	0	0		0	0	0	0		赤					エ						打たれ強い																	波動無効																							
044-3	44	3	ネコマシン・滅	超激レア	50+70	30	153000	94435	25	1	168	267	10611	範囲	190			3600	1936									99	38	0	0		0	0	0	0		赤					エ						打たれ強い					動きを止める(50% 120F)					ふっとばす無効																	波動ストッパー													
045-1	45	1	鬼にゃんま	超激レア	50+70	30	37400	28050	12	3	28	68	12375	単体	180			3000	846									39	40	0	0		0	0	0	0																										攻撃力低下無効																											
045-2	45	2	鬼神にゃんま	超激レア	50+70	30	49300	38250	12	3	28	68	16875	単体	180			3000	846									39	40	0	0		0	0	0	0																										攻撃力低下無効																											
045-3	45	3	獄炎鬼にゃんま	超激レア	50+70	30	66300	63750	12	3	28	68	28125	単体	180			2250	846									39	40	0	0		0	0	0	0																										攻撃力低下無効									攻撃上昇(33%以下 200%上昇)																	波動耐性:50%軽減	
046-1	46	1	芸者ねこ	EX	50+0	30	1700	135	10	3	8	37	109	単体	140			75	60									29	10	0	0		0	0	0	0																																																					
046-2	46	2	ネコでありんした	EX	50+0	30	5950	1360	10	3	9	128	319	単体	350			900	66									119	22	0	0		0	0	0	0																																																					
047-1	47	1	ねこジュラ	レア	50+80	30	9690	1240	12	3	16	31	1200	単体	150			525	216									11	15	0	0		0	0	0	0																																	クリティカル(5%)																				
047-2	47	2	ねこジュラシッター	レア	50+80	30	11390	1410	12	3	16	31	1365	単体	150			525	216									11	15	0	0		0	0	0	0																																	クリティカル(5%)																				
047-3	47	3	ねこジュラザウルス	レア	50+80	30	16490	1835	12	3	16	31	1776	単体	180			375	216									11	15	0	0		0	0	0	0																																	クリティカル(12%)													ふっとばす耐性:50%距離軽減							
048-1	48	1	ねこファイター	レア	50+80	30	11305	1360	11	3	16	25	1632	単体	140			525	116									9	9	0	0		0	0	0	0		赤									めっぽう強い																																										
048-2	48	2	メガトンファイター	レア	50+80	30	13005	1530	11	3	16	25	1836	単体	140			525	116									9	9	0	0		0	0	0	0		赤									めっぽう強い																																										
048-3	48	3	マキシマムファイター	レア	50+80	30	26010	1530	11	3	16	25	1836	範囲	140			525	116									9	9	0	0		0	0	0	0		赤									めっぽう強い														遅くする無効	攻撃力低下無効																								呪い耐性:70%効果時間減少	毒撃耐性:50%軽減		
049-1	49	1	ねこ海賊	レア	50+80	30	5185	560	8	3	10	45	373	単体	270			510	176									35	28	0	0		0	0	0	0		赤														ふっとばす(30%)																																					
049-2	49	2	ニャーコック船長	レア	50+80	30	5950	730	8	3	10	45	487	単体	270			510	176									35	28	0	0		0	0	0	0		赤														ふっとばす(30%)																																					
049-3	49	3	ニャック・スパロウ	レア	50+80	30	15300	730	8	3	10	45	487	単体	300			510	176									35	28	0	0		0	0	0	0		赤														ふっとばす(40%)														波動無効						生き残る(100%)												遅くする耐性:70%効果時間減少					
050-1	50	1	ねこ泥棒	レア	50+80	30	7855	917	13	3	15	30	917	単体	170			495	156									15	10	0	0		0	0	0	0																																		金×2																			
050-2	50	2	怪盗ニャコン	レア	50+80	30	9180	1087	13	3	15	30	1087	単体	170			495	156									15	10	0	0		0	0	0	0																																		金×2																			
050-3	50	3	ネゴエモン	レア	50+80	30	9180	1632	23	3	15	30	1632	範囲	200			495	156									15	10	0	0		0	0	0	0																																ゾンビキラー		金×2	攻撃上昇(33%以下 150%上昇)																		
051-1	51	1	ねこ僧侶	レア	50+80	30	6460	630	10	3	8	29	652	単体	200			495	116									21	9	0	0		0	0	0	0			浮																遅くする(20% 120F)																																		
051-2	51	2	ねこ坊主	レア	50+80	30	7480	800	10	3	8	29	828	単体	200			495	116									21	8	0	0		0	0	0	0			浮																遅くする(20% 120F)																																		
051-3	51	3	ねこ法師	レア	50+80	30	11220	970	10	3	8	29	1003	範囲	250			495	116									21	8	0	0		0	0	0	0			浮			天													遅くする(20% 150F)	攻撃低下(30%の確率 120F 30%に低下)																生き残る(50%)																	
052-1	52	1	ねこ占い師	レア	50+80	30	5525	612	9	3	11	40	459	単体	240			510	156									29	15	0	0		0	0	0	0			浮													ふっとばす(30%)																																					
052-2	52	2	ねこふんど師	レア	50+80	30	6425	782	9	3	11	40	587	単体	240			510	156									29	15	0	0		0	0	0	0			浮													ふっとばす(30%)																																					
